Model=ballHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=1, estProb=0.50
Model=oddHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=0, estProb=0.51
Model=ballHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.75, middleScoreOddOfDefeat=1.14, middleBigOddOfVictory=1.01, middleBigOddOfDefeat=0.85, estValue=0, estProb=0.68
Model=oddHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.75, middleScoreOddOfDefeat=1.14, middleBigOddOfVictory=1.01, middleBigOddOfDefeat=0.85, estValue=0, estProb=0.62
Model=ballHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=1, estProb=0.56
Model=ballHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.75, middleScoreOddOfDefeat=1.14, middleBigOddOfVictory=1.03, middleBigOddOfDefeat=0.83, estValue=0, estProb=0.68
Model=oddHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=1, estProb=0.55
Model=oddHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.75, middleScoreOddOfDefeat=1.14, middleBigOddOfVictory=1.03, middleBigOddOfDefeat=0.83, estValue=0, estProb=0.62
Model=ballHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=1, estProb=0.55
Model=ballHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=1, estProb=0.52
Model=ballHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.74, middleScoreOddOfDefeat=1.16, middleBigOddOfVictory=1.07, middleBigOddOfDefeat=0.79, estValue=0, estProb=0.68
Model=oddHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.74, middleScoreOddOfDefeat=1.16, middleBigOddOfVictory=1.07, middleBigOddOfDefeat=0.79, estValue=0, estProb=0.62
Model=ballHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.74, middleScoreOddOfDefeat=1.16, middleBigOddOfVictory=1.07, middleBigOddOfDefeat=0.79, estValue=0, estProb=0.69
